           116390000, 71, 1, 71, af
           116410000, 00, 0, f1, b0
           116450000, 00, 0, 00, b0
           116470000, 00, 1, 00, b0
           116490000, 00, 0, 00, b1
           116550000, 00, 1, 00, b1
           116570000, 00, 0, 00, b2
           116630000, 00, 1, 00, b2
           116650000, 00, 0, 00, b3
           116710000, 00, 1, 00, b3
           116730000, 00, 0, 00, b4
           116790000, 00, 1, 00, b4
           116810000, 00, 0, 00, b5
           116870000, 00, 1, 00, b5
           116890000, 00, 0, 00, b6
           116950000, 00, 1, 00, b6
           116970000, 00, 0, 00, b7
           116990000, 4f, 1, 00, b7
           117010000, 4b, 1, 00, b7
           117030000, 0a, 1, 00, b7
           117050000, 00, 0, 00, b7
           117070000, 00, 0, 00, 00
           117110000, 00, 0, 20, 00
